time_ms,value,temperature_C
31490,259,25.00
31635,259,25.00
31779,259,25.00
31923,258,25.00
32068,259,25.00
32212,259,25.00
32357,259,25.00
32501,258,25.00
32646,259,25.00
32788,259,25.00
32932,259,25.00
33077,260,25.00
33221,259,25.00
33366,258,25.00
33510,258,25.00
33654,259,25.00
33799,259,25.00
33943,258,25.00
34088,259,25.00
34232,259,25.00
34376,259,25.00
34521,259,25.00
34665,258,25.00
34810,258,25.00
34954,258,25.00
35099,258,25.00
35245,259,25.00
35389,258,25.00
35534,259,25.00
35678,258,25.00
35823,258,25.00
35967,258,25.00
36111,259,25.00
36256,259,25.00
36400,259,25.00
36545,259,25.00
36689,258,25.00
36833,259,25.00
36978,259,25.00
37125,259,25.00
37269,258,25.00
37414,258,25.00
37559,258,25.00
37703,259,25.00
37848,259,25.00
37992,259,25.00
38137,259,25.00
38281,259,25.00
38426,259,25.00
38570,259,25.00
38715,259,25.00
38859,259,25.00
39004,258,25.00
39149,258,25.00
39295,259,25.00
39439,259,25.00
39584,259,25.00
39729,259,25.00
39873,258,25.00
40018,259,25.00
40162,259,25.00
40307,258,25.00
40451,259,25.00
40596,259,25.00
40740,259,25.00
40885,260,25.00
41029,259,25.00
41174,260,25.00
41319,258,25.00
41466,259,25.00
41610,258,25.00
41755,259,25.00
41899,258,25.00
42044,259,25.00
42189,259,25.00
42333,258,25.00
42484,258,25.00
42628,258,25.00
42773,259,25.00
42917,259,25.00
43062,259,25.00
43208,258,25.00
43353,259,25.00
43497,259,25.00
43642,258,25.00
43786,258,25.00
43931,259,25.00
44076,259,25.00
44220,259,25.00
44365,258,25.00
44509,259,25.00
44654,259,25.00
44798,258,25.00
44943,259,25.00
45088,259,25.00
45232,258,25.00
45377,259,25.00
45521,259,25.00
45666,259,25.00
45813,259,25.00
45957,258,25.00
46102,259,25.00
46246,258,25.00
46391,259,25.00
46536,259,25.00
46680,259,25.00
46825,259,25.00
46969,258,25.00
47114,259,25.00
47260,258,25.00
47404,25,25.00
47549,259,25.00
47693,259,25.00
47838,259,25.00
47982,259,25.00
48127,258,25.00
48271,258,25.00
48416,259,25.00
48561,258,25.00
48705,259,25.00
48850,259,25.00
48994,259,25.00
49139,259,25.00
49283,259,25.00
49428,259,25.00
49572,259,25.00
49717,259,25.00
49861,259,25.00
50006,259,25.00
50153,259,25.00
50298,259,25.00
50442,259,25.00
50587,259,25.00
50731,258,25.00
50876,260,25.00
51020,258,25.00
51167,258,25.00
51311,260,25.00
51456,259,25.00
51600,259,25.00
51745,258,25.00
51889,259,25.00
52034,258,25.00
52178,259,25.00
52323,259,25.00
52467,257,25.00
52612,258,25.00
52756,259,25.00
52901,259,25.00
53046,259,25.00
53190,259,25.00
53335,258,25.00
53479,258,25.00
53624,259,25.00
53768,259,25.00
53913,258,25.00
54057,259,25.00
54202,258,25.00
54346,259,25.00
54494,259,25.00
54638,260,25.00
54783,259,25.00
54927,259,25.00
55072,259,25.00
55218,259,25.00
55363,259,25.00
55507,258,25.00
55652,259,25.00
55796,258,25.00
